"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/16/2000","040131003","1","0.059","ppm","50","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/18/2000","040131003","1","0.054","ppm","46","21","88.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/19/2000","040131003","1","0.064","ppm","64","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/20/2000","040131003","1","0.065","ppm","67","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/21/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/22/2000","040131003","1","0.071","ppm","87","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/23/2000","040131003","1","0.075","ppm","100","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/25/2000","040131003","1","0.066","ppm","71","19","79.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/26/2000","040131003","1","0.067","ppm","74","18","75.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/27/2000","040131003","1","0.062","ppm","58","20","83.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/28/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/29/2000","040131003","1","0.075","ppm","100","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"04/30/2000","040131003","1","0.075","ppm","100","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/01/2000","040131003","1","0.073","ppm","93","23","96.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/02/2000","040131003","1","0.078","ppm","106","22","92.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/03/2000","040131003","1","0.067","ppm","74","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/04/2000","040131003","1","0.063","ppm","61","22","92.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/05/2000","040131003","1","0.049","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/06/2000","040131003","1","0.049","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/07/2000","040131003","1","0.05","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/08/2000","040131003","1","0.057","ppm","48","21","88.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/09/2000","040131003","1","0.062","ppm","58","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/10/2000","040131003","1","0.04","ppm","34","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/11/2000","040131003","1","0.061","ppm","54","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/12/2000","040131003","1","0.07","ppm","84","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/13/2000","040131003","1","0.075","ppm","100","18","75.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/14/2000","040131003","1","0.074","ppm","97","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/15/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/16/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/17/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/18/2000","040131003","1","0.06","ppm","51","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/19/2000","040131003","1","0.067","ppm","74","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/20/2000","040131003","1","0.068","ppm","77","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/21/2000","040131003","1","0.068","ppm","77","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/22/2000","040131003","1","0.068","ppm","77","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/23/2000","040131003","1","0.065","ppm","67","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/24/2000","040131003","1","0.06","ppm","51","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/25/2000","040131003","1","0.052","ppm","44","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/26/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/27/2000","040131003","1","0.066","ppm","71","18","75.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/28/2000","040131003","1","0.069","ppm","80","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/29/2000","040131003","1","0.062","ppm","58","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/30/2000","040131003","1","0.059","ppm","50","23","96.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"05/31/2000","040131003","1","0.058","ppm","49","23","96.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/01/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/02/2000","040131003","1","0.046","ppm","39","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/03/2000","040131003","1","0.042","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/04/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/06/2000","040131003","1","0.064","ppm","64","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/07/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/08/2000","040131003","1","0.044","ppm","37","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/09/2000","040131003","1","0.043","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/10/2000","040131003","1","0.046","ppm","39","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/11/2000","040131003","1","0.054","ppm","46","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/12/2000","040131003","1","0.044","ppm","37","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/13/2000","040131003","1","0.051","ppm","43","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/14/2000","040131003","1","0.051","ppm","43","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/15/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/16/2000","040131003","1","0.051","ppm","43","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/17/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/18/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/20/2000","040131003","1","0.024","ppm","20","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/21/2000","040131003","1","0.052","ppm","44","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/22/2000","040131003","1","0.026","ppm","22","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/23/2000","040131003","1","0.036","ppm","31","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/24/2000","040131003","1","0.043","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/25/2000","040131003","1","0.043","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/26/2000","040131003","1","0.032","ppm","27","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/27/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/28/2000","040131003","1","0.058","ppm","49","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/29/2000","040131003","1","0.057","ppm","48","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"06/30/2000","040131003","1","0.062","ppm","58","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/01/2000","040131003","1","0.047","ppm","40","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/02/2000","040131003","1","0.055","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/03/2000","040131003","1","0.046","ppm","39","18","75.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/04/2000","040131003","1","0.057","ppm","48","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/05/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/06/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/07/2000","040131003","1","0.049","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/08/2000","040131003","1","0.05","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/09/2000","040131003","1","0.045","ppm","38","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/10/2000","040131003","1","0.038","ppm","32","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/11/2000","040131003","1","0.047","ppm","40","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/12/2000","040131003","1","0.046","ppm","39","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/13/2000","040131003","1","0.035","ppm","30","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/14/2000","040131003","1","0.052","ppm","44","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/15/2000","040131003","1","0.046","ppm","39","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/16/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/18/2000","040131003","1","0.042","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/20/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/22/2000","040131003","1","0.043","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/23/2000","040131003","1","0.058","ppm","49","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/24/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/25/2000","040131003","1","0.057","ppm","48","20","83.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/29/2000","040131003","1","0.073","ppm","93","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/30/2000","040131003","1","0.079","ppm","109","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"07/31/2000","040131003","1","0.058","ppm","49","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/01/2000","040131003","1","0.06","ppm","51","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/02/2000","040131003","1","0.049","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/03/2000","040131003","1","0.045","ppm","38","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/05/2000","040131003","1","0.062","ppm","58","23","96.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/06/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/07/2000","040131003","1","0.056","ppm","47","23","96.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/08/2000","040131003","1","0.05","ppm","42","18","75.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/09/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/12/2000","040131003","1","0.074","ppm","97","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/13/2000","040131003","1","0.074","ppm","97","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/14/2000","040131003","1","0.089","ppm","135","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/15/2000","040131003","1","0.051","ppm","43","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/16/2000","040131003","1","0.071","ppm","87","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/17/2000","040131003","1","0.046","ppm","39","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/18/2000","040131003","1","0.07","ppm","84","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/19/2000","040131003","1","0.07","ppm","84","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/20/2000","040131003","1","0.057","ppm","48","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/21/2000","040131003","1","0.061","ppm","54","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/22/2000","040131003","1","0.052","ppm","44","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/23/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/24/2000","040131003","1","0.07","ppm","84","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/25/2000","040131003","1","0.059","ppm","50","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/26/2000","040131003","1","0.066","ppm","71","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/27/2000","040131003","1","0.042","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/28/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/29/2000","040131003","1","0.03","ppm","25","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/30/2000","040131003","1","0.04","ppm","34","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"08/31/2000","040131003","1","0.052","ppm","44","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/01/2000","040131003","1","0.03","ppm","25","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/02/2000","040131003","1","0.041","ppm","35","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/03/2000","040131003","1","0.039","ppm","33","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/04/2000","040131003","1","0.049","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/05/2000","040131003","1","0.044","ppm","37","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/06/2000","040131003","1","0.038","ppm","32","19","79.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/07/2000","040131003","1","0.053","ppm","45","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/08/2000","040131003","1","0.042","ppm","36","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/09/2000","040131003","1","0.059","ppm","50","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/10/2000","040131003","1","0.056","ppm","47","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/11/2000","040131003","1","0.04","ppm","34","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/12/2000","040131003","1","0.04","ppm","34","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/13/2000","040131003","1","0.053","ppm","45","23","96.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/14/2000","040131003","1","0.049","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/15/2000","040131003","1","0.05","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/16/2000","040131003","1","0.068","ppm","77","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/17/2000","040131003","1","0.05","ppm","42","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/18/2000","040131003","1","0.04","ppm","34","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/19/2000","040131003","1","0.051","ppm","43","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/20/2000","040131003","1","0.048","ppm","41","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
"09/21/2000","040131003","1","0.034","ppm","29","24","100.0000","44201","Ozone","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4104500008677","-111.86507"
